实体名,谷歌,百度,有道
"    ""12.7mm/50 MG Burst [10 rnds] (Aircraft, Air-to-Ground Only)"",","12.7mm/50 MG Burst [10 rnds]（飞机，仅限空对地）,","    ""12.7mm/50 MG爆破10 RND（飞机，仅空对地）"",","12.7毫米/50毫克爆炸[10?rnds](飞机，仅限空对地),   "
"    ""12.7mm/50 MG Burst [10 rnds] (Facility/Ship, No Anti-Air Capability)"",","12.7mm/50 MG Burst [10 rnds]（设施/舰船，无防空能力）,","    ""12.7mm/50 MG爆破10 RND（设施/船舶，无防空能力）"",","12.7毫米/50毫克爆炸[10?rnds](设施/船舶，无防空能力),   "
"    ""12.7mm/50 MG Burst [160 rnds] (Aircraft Targets Only)"",","12.7mm/50 MG Burst [160 rnds]（仅限飞机目标）,","    ""12.7mm/50 MG 160 RND脉冲群（仅适用于飞机目标）"",","12.7毫米/50毫克爆炸[160?rnds](只针对飞机目标),   "
"    ""12.7mm/50 MG Burst [20 rnds] (Aircraft, No Anti-Air Capability)"",","12.7mm/50 MG Burst [20 rnds]（飞机，无防空能力）,","    ""12.7mm/50 MG爆裂20 RND（飞机，无防空能力）"",","12.7毫米/50毫克爆炸[20?rnds](飞机，无防空能力),   "
"    ""12.7mm/50 MG x 2 Burst [100 rnds] (Aircraft)"",","12.7 毫米/50 MG x 2 连发 [100 发]（飞机）,","    ""12.7mm/50 MG x 2突发100 RND（飞机）"",","12.7毫米/50毫克x?2爆炸[100?rnds](飞机),   "
"    ""12.7mm/50 MG x 2 Burst [100 rnds] (Aircraft, No Anti-Air Capability)"",","12.7mm/50 MG x 2 Burst [100 rnds]（飞机，无防空能力）,","    ""12.7mm/50 MG x 2突发100 RND（飞机，无防空能力）"",","12.7毫米/50毫克×?2爆炸[100?rnds](飞机，无防空能力),   "
"    ""12.7mm/50 MG x 2 Burst [40 rnds] (Aircraft)"",","12.7 毫米/50 MG x 2 连发 [40 发]（飞机）,","    ""12.7mm/50 MG x 2爆破40 RND（飞机）"",","12.7毫米/50毫克x?2爆炸[40?rnds](飞机),   "
"    ""12.7mm/50 MG x 3 Burst [75 rnds] (Aircraft)"",","12.7mm/50 MG x 3 Burst [75 rnds]（飞机）,","    ""12.7mm/50 MG x 3爆破75 RND（飞机）"",","12.7毫米/50毫克x?3爆炸[75?rnds](飞机),   "
"    ""12.7mm/50 MG x 4 Burst [100 rnds] (Aircraft)"",","12.7 毫米/50 MG x 4 连发 [100 发]（飞机）,","    ""12.7mm/50 MG x 4突发100 RND（飞机）"",","12.7毫米/50毫克x?4爆炸[100?rnds](飞机),   "
"    ""12.7mm/50 MG x 6 Burst [150 rnds] (Aircraft)"",","12.7 毫米/50 MG x 6 连发 [150 发]（飞机）,","    ""12.7mm/50 MG x 6爆破150 RND（飞机）"",","12.7毫米/50毫克x?6爆炸[150?rnds](飞机),   "
"    ""12.7mm/50 Mini-Typhoon Burst [10 rnds] "",","12.7mm/50 迷你台风爆发 [10 rnds],","    ""12.7mm/50小型台风爆发10 rnds"",","12.7毫米/50小型台风爆发[10?rnds],   "
"    ""12.7mm/50 OTO Melara HITROLE-NT Burst [10 rnds] "",","12.7 毫米/50 OTO Melara HITROLE-NT Burst [10 rnds],","    ""12.7mm/50 OTO Melara HITROLE-NT突发10 RND"",","12.7mm/50?OTO?Melara?HITROLE-NT?Burst?[10?rnds],   "
"    ""12.7mm/50 Quad M55 Burst [20 rnds] "",","12.7mm/50 Quad M55 Burst [20 rnds],","    ""12.7mm/50四路M55突发20 RND"",","12.7毫米/50?Quad?M55爆破[20?rnds],   "
"    ""12.7mm/50 STAMP Burst [20 rnds] "",","12.7mm/50 STAMP Burst [20 rnds],","    ""12.7mm/50邮票突发20 rnds"",","12.7毫米/50邮票爆破[20?rnds],   "
"    ""12.7mm/50 Twin MG Burst [20 rnds] (Ship/Facility, No Anti-Air Capability)"",","12.7mm/50 Twin MG Burst [20 rnds]（舰船/设施，无防空能力）,","    ""12.7mm/50双MG爆破20 RND（船舶/设施，无防空能力）"",","12.7毫米/50双MG爆炸[20?rnds](船/设施，无防空能力),   "
"    ""12.7mm/72 Burst [20 rnds] (Aircraft, No Anti-Air Capability)"",","12.7 毫米/72 连发 [20 发]（飞机，无防空能力）,","    ""12.7mm/72突发20 RND（飞机，无防空能力）"",","12.7毫米/72发[20?rnds](飞机，无防空能力),   "
"    ""120 USG Drop Tank "",","120 USG Drop Tank,","    ""120美格液滴箱"",","120?USG?Drop?Tank,   "
"    ""1200 liter Drop Tank "",","1200 升水箱,","    ""1200升液箱"",","1200升空箱,   "
"    ""120mm 2A51 Mortar HE (2S9 Nona)"",","120 毫米 2A51 迫击炮 HE（2S9 诺娜）,","    ""120mm 2A51砂浆HE（2S9 Nona）"",","120mm?2A51迫击炮HE?(2S9?Nona),   "
"    ""120mm 2A51 Mortar RAP (2S9 Nona)"",","120 毫米 2A51 迫击炮 RAP (2S9 Nona),","    ""120mm 2A51砂浆RAP（2S9 Nona）"",","120mm?2A51迫击炮RAP?(2S9?Nona),   "
"    ""120mm APFSDS-T "",","120mm APFSDS-T,","    ""120mm APFSDS-T"",","120毫米APFSDS-T,   "
"    ""120mm HE "",","120mm HE,","    ""120毫米HE"",","120毫米他,   "
"    ""120mm HEAT "",","120 毫米热量,","    ""120毫米热"",","120毫米热,   "
"    ""120mm M256 APFSDS-T "",","120mm M256 APFSDS-T,","    ""120mm M256 APFSDS-T"",","120mm?M256?APFSDS-T,   "
"    ""120mm M256 HE "",","120mm M256 HE,","    ""120mm M256 HE"",","120mm?M256?HE,   "
"    ""120mm M256 HEAT "",","120mm M256 HEAT,","    ""120mm M256发热量"",","120mm?M256?HEAT,   "
"    ""120mm Mortar HE "",","120mm迫击炮HE,","    ""120毫米迫击炮"",","120mm迫击炮HE,   "
"    ""120mm Mortar HE [XM395] (XM395 Precision Guided Mortar Munition)"",","120 毫米迫击炮 HE [XM395]（XM395 精确制导迫击炮弹药）,","    ""120mm迫击炮HE XM395（XM395精确制导迫击炮弹药）"",","120mm迫击炮[XM395]?(XM395精确制导迫击炮弹药),   "
"    ""120mm NEMO Mortar (Patria)"",","120 毫米 NEMO 迫击炮（Patria）,","    ""120mm尼莫迫击炮（Patria）"",","120毫米NEMO迫击炮(Patria),   "
"    ""120mm Rheinmetall APFSDS-T "",","120 毫米莱茵金属 APFSDS-T,","    ""120mm莱茵金属APFSDS-T"",","120mm莱茵金属APFSDS-T,   "
"    ""120mm Rheinmetall HE "",","120 毫米莱茵金属 HE,","    ""120毫米莱茵金属HE"",","120mm莱茵金属HE,   "
"    ""120mm Rheinmetall HEAT "",","120 毫米莱茵金属热,","    ""120mm莱茵金属炉"",","120mm莱茵金属热,   "
"    ""120mm STRIX Mortar HE (Sweden, 1995)"",","120 毫米 STRIX 迫击炮 HE（瑞典，1995）,","    ""120mm STRIX迫击炮HE（瑞典，1995年）"",","120毫米STRIX迫击炮HE(瑞典，1995),   "
"    ""120mm/46 Bofors GP Burst [4 rnds] "",","120 毫米/46 博福斯 GP 连发 [4 发],","    ""120mm/46 Bofors总成突发4 RND"",","120mm/46?Bofors?GP爆破[4?rnds],   "
"    ""120mm/47 m/44 Twin Bofors GP Burst [2 rnds] "",","120mm/47 m/44 Twin Bofors GP Burst [2 rnds],","    ""120mm/47 m/44双Bofors总成突发2 RND"",","120mm/47米/44双Bofors?GP爆炸[2?rnds],   "
"    ""120mm/47 m/50 Twin Bofors GP Burst [2 rnds] "",","120mm/47 m/50 Twin Bofors GP Burst [2 rnds],","    ""120mm/47 m/50双Bofors总成突发2 RND"",","120mm/47米/50双Bofors?GP爆破[2?rnds],   "
"    ""120mm/62 ERSTA Gun HE "",","120mm/62 ERSTA Gun HE,","    ""120mm/62 ERSTA枪HE"",","120mm/62?ERSTA炮HE,   "
"    ""120mm/70 9101 HE "",","120mm/70 9101 HE,","    ""120mm/709101 HE"",","120mm/70?9101?HE,   "
"    ""120mm/80 HE "",","120mm/80 HE,","    ""120mm/80he"",","120?mm?/?80他,   "
"    ""122mm MLRS (Generic)"",","122mm MLRS（通用）,","    ""122毫米多管火箭（通用）"",","122毫米高钙(通用),   "
"    ""122mm Sakr MLRS Rocket "",","122 毫米 Sakr MLRS 火箭,","    ""122毫米萨克尔多管火箭"",","122mm萨克多管火箭,   "
"    ""122mm/36 HE "",","122mm/36 HE,","    ""122mm/36he"",","122毫米/?36他,   "
"    ""122mm/38 HE "",","122mm/38 HE,","    ""122mm/38he"",","122毫米/?38他,   "
"    ""124 [Tarantul I, Pr.1241RE] - 1990, 2x, 1 discarded 1998"",","124 [Tarantul I, Pr.1241RE] - 1990, 2x, 1 1998 年废弃,","    ""124狼蛛一世，公共关系1241RE-1990，2x，1998"",","124?[Tarantul?I,?Pr.1241RE]?-?1990,?2x,?1丢弃1998,   "
"    ""1250 liter Drop Tank "",","1250 升水箱,","    ""1250升液箱"",","1250升Drop?Tank,   "
"    ""1250 liter Ferry Tank "",","1250 升渡槽,","    ""1250升渡轮舱"",","1250升轮渡水箱,   "
"    ""125kg GPB (Generic)"",","125 公斤 GPB（通用）,","    ""125千克GPB（通用）"",","125公斤加仑桶(通用),   "
"    ""125kg GPB (L-15B)"",","125kg GPB (L-15B),","    ""125千克加仑/加仑（L-15磅）"",","125公斤加仑桶(L-15B),   "
"    ""125mm 2A82-1M APFSDS-T (Generic Tank Ammo)"",","125 毫米 2A82-1M APFSDS-T（通用坦克弹药）,","    ""125mm 2A82-1M APFSDS-T（通用坦克弹药）"",","125毫米2A82-1M?APFSDS-T(通用坦克弹药),   "
"    ""125mm 2A82-1M HE (Generic Tank Ammo)"",","125 毫米 2A82-1M HE（通用坦克弹药）,","    ""125mm 2A82-1M HE（通用坦克弹药）"",","125毫米2A82-1M?HE(通用坦克弹药),   "
"    ""125mm 2A82-1M HEAT (Generic Tank Ammo)"",","125mm 2A82-1M HEAT（通用坦克弹药）,","    ""125mm 2A82-1M热量（通用坦克弹药）"",","125毫米2A82-1M?HEAT(通用坦克弹药),   "
"    ""125mm APFSDS-T (Generic Tank Ammo)"",","125 毫米 APFSDS-T（通用坦克弹药）,","    ""125毫米APFSDS-T（通用坦克弹药）"",","125毫米APFSDS-T(通用坦克弹药),   "
"    ""125mm HE (Generic Tank Ammo)"",","125 毫米 HE（通用坦克弹药）,","    ""125毫米HE（通用坦克弹药）"",","125毫米HE(通用坦克弹药),   "
"    ""125mm HEAT (Generic Tank Ammo)"",","125mm HEAT（通用坦克弹药）,","    ""125毫米热量（普通坦克弹药）"",","125毫米热(通用坦克弹药),   "
"    ""125mm HEAT-Frag (Generic Tank Ammo)"",","125 毫米 HEAT-Frag（通用坦克弹药）,","    ""125毫米热碎片（普通坦克弹药）"",","125毫米热碎片(通用坦克弹药),   "
"    ""126 [Hounan Class] - 1995, 3x"",","126[湖南级]——1995年，3x,","    ""126霍南级-1995年，3倍"",","126[湖南级]-?1995年，3,   "
"    ""1275 liter Drop Tank "",","1275 升水箱,","    ""1275升液箱"",","1275升空投箱,   "
"    ""127mm HE Mortar Barrage "",","127 毫米 HE 迫击炮弹,","    ""127毫米HE迫击炮拦河坝"",","127毫米HE迫击炮弹幕,   "
"    ""127mm HVAR Rocket "",","127mm HVAR 火箭,","    ""127毫米HVAR火箭"",","127毫米HVAR火箭,   "
"    ""127mm SKC/34 HE (Anti-Ship)"",","127mm SKC/34 HE（反舰）,","    ""127mm SKC/34 HE（反舰）"",","127毫米SKC/34?HE(反舰),   "
"    ""127mm/25 Mk10 AA-VT [Anti-Aircraft Common] "",","127mm/25 Mk10 AA-VT [防空通用],","    ""127mm/25 Mk10 AA-VT防空通用"",","127mm/25?Mk10?AA-VT防空通用型,   "
"    ""127mm/25 Mk10 HE-PD [HiCap] "",","127mm/25 Mk10 HE-PD [HiCap],","    ""127mm/25 Mk10 HE-PD HiCap"",","127mm/25?Mk10?HE-PD?[HiCap],   "
"    ""127mm/38 AA-VT [AntiAircraft Common] (USN, Anti-Aircraft Frag)"",","127mm/38 AA-VT [防空通用] (USN, Anti-Aircraft Frag),","    ""127mm/38 AA-VT防空通用（美国海军、防空飞机）"",","127mm/?38aa?-?vt[防空通用](美国海军，防空部队),   "
"    ""127mm/38 HE-PD [HiCap] (USN)"",","127mm/38 HE-PD [HiCap] (USN),","    ""127mm/38 HE-PD HiCap（美国海军）"",","127mm/?38he?-?pd?[HiCap]?(USN),   "
"    ""127mm/38 Twin AA-VT Burst [Anti-Aircraft Common, 2 rnds] (USN, Anti-Aircraft Frag)"",","127 毫米/38 双 AA-VT 连发 [防空通用，2 发]（USN，防空碎片）,","    ""127mm/38双AA-VT突发防空共有，2个RND（美国海军，防空框架）"",","127mm/38双AA-VT爆破[防空通用，2?rnds](美国海军，防空Frag),   "
"    ""127mm/38 Twin HE-PD Burst [HiCap, 2 rnds] (USN)"",","127mm/38 Twin HE-PD Burst [HiCap, 2 rnds] (USN),","    ""127mm/38双HE-PD爆破HiCap，2个rnds（美国海军）"",","127mm/38双HE-PD爆炸[HiCap,?2?rnds]?(USN),   "
"    ""127mm/54 HE-CVT [HiFrag] (USN)"",","127mm/54 HE-CVT [HiFrag] (USN),","    ""127mm/54 HE-CVT HiFrag（美国海军）"",","127mm/54?HE-CVT?[HiFrag]?(USN),   "
"    ""127mm/54 HE-PD [HiCap] (USN)"",","127mm/54 HE-PD [HiCap] (USN),","    ""127mm/54 HE-PD HiCap（美国海军）"",","127mm/54?HE-PD?[HiCap]?(USN),   "
"    ""127mm/54 M1948 Twin AA-VT Burst [Anti-Aircraft Common, 2 rnds] (France, Anti-Aircraft Frag)"",","127 毫米/54 M1948 双 AA-VT 连发 [防空通用，2 发]（法国，防空碎片）,","    ""127mm/54 M1948双AA-VT突发防空共有，2个RND（法国，防空框架）"",","127mm/54?M1948双AA-VT爆破[防空通用，2?rnds](法国，防空部队),   "
"    ""127mm/54 M1948 Twin HE-PD Burst [HiCap, 2 rnds] (France)"",","127 毫米/54 M1948 双 HE-PD 连发 [HiCap, 2 rnds]（法国）,","    ""127mm/54 M1948双HE-PD爆破HiCap，2 rnds（法国）"",","127mm/54?M1948双氦-?pd爆管[HiCap,?2?rnds](法国),   "
"    ""127mm/54 Mk100-1 NonFrag-VT [Mk64 HiCap Body, Mk73 Fuse, AAW Practice] "",","127mm/54 Mk100-1 NonFrag-VT [Mk64 HiCap 机身，Mk73 保险丝，AAW 练习],","    ""127mm/54 Mk100-1防擦伤VT Mk64 HiCap阀体，Mk73保险丝，AAW实践"",","127mm/54?Mk100-1非碎片-?vt?[Mk64?HiCap体，Mk73引信，AAW实践],   "
"    ""127mm/54 Mk100-2 NonFrag-VT [Mk64 HiCap Body, Mk418 Fuse, AAW Practice] (Mk45 Mod 1/2)"",","127mm/54 Mk100-2 NonFrag-VT [Mk64 HiCap 机身，Mk418 保险丝，AAW 练习]（Mk45 Mod 1/2）,","    ""127mm/54 Mk100-2防擦伤VT Mk64 HiCap阀体，Mk418保险丝，AAW实践（Mk45 1/2型）"",","127mm/54?Mk100-2非碎片-?vt?[Mk64?HiCap体，Mk418引信，AAW实践](Mk45?Mod?1/2),   "
"    ""127mm/54 Mk107 HE-IR Anti-Air [Mk64 HiCap Body, Mk91 Fuse] (Not operational?)"",","127 毫米/54 Mk107 HE-IR 防空 [Mk64 HiCap 机身，Mk91 保险丝]（不可用？）,","    ""127mm/54 Mk107 HE-IR防空Mk64 HiCap机身，Mk91保险丝（不工作？）"",","127mm/54?Mk107?HE-IR防空[Mk64?HiCap弹体，Mk91引信](失效?),   "
"    ""127mm/54 Mk108-1 HE-PDD [Mk64 HiCap Body, Mk399 Fuse] (Mk45 Mod 0)"",","127mm/54 Mk108-1 HE-PDD [Mk64 HiCap 机身，Mk399 保险丝]（Mk45 Mod 0）,","    ""127mm/54 Mk108-1 HE-PDD Mk64 HiCap阀体，Mk399保险丝（Mk45 0型）"",","127mm/54?Mk108-1?HE-PDD?[Mk64?HiCap车身，Mk399引信](Mk45?Mod?0),   "
"    ""127mm/54 Mk108-2 HE-PDD [Mk64 HiCap Body, Mk407 Fuse] "",","127mm/54 Mk108-2 HE-PDD [Mk64 HiCap 机身，Mk407 保险丝],","    ""127mm/54 Mk108-2 HE-PDD Mk64 HiCap阀体，Mk407保险丝"",","127mm/54?Mk108-2?HE-PDD?[Mk64?HiCap机身，Mk407引信],   "
"    ""127mm/54 Mk116-0 HE-VT [Mk41 HiFrag Body, Mk73 Fuse] "",","127mm/54 Mk116-0 HE-VT [Mk41 HiFrag 机身，Mk73 保险丝],","    ""127mm/54 Mk116-0 HE-VT Mk41 HiFrag阀体，Mk73保险丝"",","型号:127mm/54?Mk116?HE-VT?[Mk41?HiFrag机体，Mk73引信],   "
"    ""127mm/54 Mk116-1 HE-VT [Mk64 HiCap Body, Mk73 Fuse] "",","127mm/54 Mk116-1 HE-VT [Mk64 HiCap 机身，Mk73 保险丝],","    ""127mm/54 Mk116-1 HE-VT Mk64 HiCap阀体，Mk73保险丝"",","127mm/54?Mk116-1?HE-VT?[Mk64?HiCap体，Mk73引信],   "
"    ""127mm/54 Mk127 HE-CVT [Mk64 HiCap Body, M728 Fuse] (1979?)"",","127mm/54 Mk127 HE-CVT [Mk64 HiCap 机身，M728 保险丝]（1979？）,","    ""127mm/54 Mk127 HE-CVT Mk64 HiCap阀体，M728保险丝（1979？）"",","127mm/54?Mk127?HE-CVT?[Mk64?HiCap机身，M728引信](1979?),   "
"    ""127mm/54 Mk156-1 HE-IR Anti-Air [Mk41 HiFrag Body, Mk404 Fuse] "",","127mm/54 Mk156-1 HE-IR 防空 [Mk41 HiFrag 机身，Mk404 保险丝],","    ""127mm/54 Mk156-1 HE-IR防空Mk41 HiFrag机身，Mk404保险丝"",","127mm/54?Mk156-1?HE-IR防空[Mk41防空弹体，Mk404引信],   "
"    ""127mm/54 Mk156-5 HE-IR Anti-Air [Mk64 HiCap Body, Mk404 Fuse] "",","127mm/54 Mk156-5 HE-IR 防空 [Mk64 HiCap 机身，Mk404 保险丝],","    ""127mm/54 Mk156-5 HE-IR防空Mk64 HiCap机身，Mk404保险丝"",","127mm/54?Mk156-5?HE-IR防空[Mk64?HiCap机身，Mk404引信],   "
"    ""127mm/54 Mk157-0 HE-CVT [Mk41 HiFrag Body, M732 Fuse] (Mk45 Mod 1/2)"",","127mm/54 Mk157-0 HE-CVT [Mk41 HiFrag 机身，M732 保险丝]（Mk45 Mod 1/2）,","    ""127mm/54 Mk157-0 HE-CVT Mk41 HiFrag车身，M732保险丝（Mk45 1/2型）"",","127mm/54?Mk157?HE-CVT?[Mk41?HiFrag?Body,?M732?Fuse]?(Mk45?Mod?1/2),   "
"    ""127mm/54 Mk157-2 HE-CVT [Mk64 HiCap Body, M732 Fuse] (Mk45 Mod 1/2)"",","127mm/54 Mk157-2 HE-CVT [Mk64 HiCap 机身，M732 保险丝]（Mk45 Mod 1/2）,","    ""127mm/54 Mk157-2 HE-CVT Mk64 HiCap阀体，M732保险丝（Mk45 1/2型）"",","127mm/54?Mk157-2?HE-CVT?[Mk64?HiCap机身，M732保险丝](Mk45?Mod?1/2),   "
"    ""127mm/54 Mk158 HE-CVT [Mk64 HiCap Body, M732 Fuse] (Mk45 Mod 1/2)"",","127mm/54 Mk158 HE-CVT [Mk64 HiCap 机身，M732 保险丝]（Mk45 Mod 1/2）,","    ""127mm/54 Mk158 HE-CVT Mk64 HiCap阀体，M732保险丝（Mk45 1/2型）"",","127mm/54?Mk158?HE-CVT?[Mk64?HiCap阀体，M732保险丝](Mk45?Mod?1/2),   "
"    ""127mm/54 Mk160 HE-PDD [Mk64 HiCap Body, Mk407 Fuse] "",","127mm/54 Mk160 HE-PDD [Mk64 HiCap 机身，Mk407 保险丝],","    ""127mm/54 Mk160 HE-PDD Mk64 HiCap阀体，Mk407保险丝"",","127mm/54?Mk160?HE-PDD?[Mk64?HiCap机身，Mk407引信],   "
"    ""127mm/54 Mk173 HE-MT/PD [Mk64 HiCap Body, Mk393 Fuse] (Mk45 Mod 1/2)"",","127mm/54 Mk173 HE-MT/PD [Mk64 HiCap 机身，Mk393 保险丝]（Mk45 Mod 1/2）,","    ""127mm/54 Mk173 HE-MT/PD Mk64 HiCap阀体，Mk393保险丝（Mk45 1/2型）"",","127mm/54?Mk173?HE-MT/PD?[Mk64?HiCap车身，Mk393引信](Mk45?Mod?1/2),   "
"    ""127mm/54 Mk176 Illum-ET [Cargo Body, Mk432 Fuse] (2006)"",","127 毫米/54 Mk176 Illum-ET [货箱，Mk432 保险丝] (2006),","    ""127mm/54 Mk176照明和货物车身，Mk432保险丝（2006年）"",","127mm/54?Mk176照明-?et[货舱，Mk432保险丝](2006),   "
"    ""127mm/54 Mk179 HE-ET [Mk41 HiFrag Body, Mk432 Fuse] (2006, Close-In ASuW, Electronic Time)"",","127 毫米/54 Mk179 HE-ET [Mk41 HiFrag 机身，Mk432 保险丝]（2006，近距离 ASuW，电子时间）,","    ""127mm/54 Mk179 HE-ET Mk41 HiFrag机身，Mk432保险丝（2006年，在ASuW关闭，电子时间）"",","127mm/54?Mk179?HE-ET?[Mk41?HiFrag?Body,?Mk432?Fuse]?(2006,?Close-In?ASuW,?Electronic?Time),   "
"    ""127mm/54 Mk182 KE-ET [Cargo Body, Mk432 Fuse, Shotgun Shell] (2006, Electronic Time)"",","127 毫米/54 Mk182 KE-ET [货物机身，Mk432 保险丝，霰弹枪外壳]（2006 年，电子时间）,","    ""127mm/54 Mk182 KE-ET机身，Mk432引信，霰弹枪外壳（2006年，电子时间）"",","127mm/54?Mk182?KE-ET[货舱，Mk432保险丝，散弹枪壳](2006年，电子时间),   "
"    ""127mm/54 Mk80 HE-PD [Mk64 HiCap Body, Mk30 Fuse] (Mk45 Mod 0)"",","127mm/54 Mk80 HE-PD [Mk64 HiCap 机身，Mk30 保险丝]（Mk45 Mod 0）,","    ""127mm/54 Mk80 HE-PD Mk64 HiCap阀体，Mk30保险丝（Mk45 0型）"",","127mm/54?Mk80?HE-PD?[Mk64?HiCap车身，Mk30引信](Mk45?Mod?0),   "
"    ""127mm/54 Mk81 HE-CVT [Mk41 HiFrag Body, M732 Fuse] (Mk45 Mod 1/2)"",","127mm/54 Mk81 HE-CVT [Mk41 HiFrag 机身，M732 保险丝]（Mk45 Mod 1/2）,","    ""127mm/54 Mk81 HE-CVT Mk41 HiFrag车身，M732保险丝（Mk45 1/2型）"",","127mm/54?Mk81?HE-CVT?[Mk41?HiFrag?Body,?M732?Fuse]?(Mk45?Mod?1/2),   "
"    ""127mm/54 Mk82 HE-MT/PD [Mk41 HiFrag Body, Mk407 Fuse] (Mk45 Mod 0)"",","127mm/54 Mk82 HE-MT/PD [Mk41 HiFrag 机身，Mk407 保险丝]（Mk45 Mod 0）,","    ""127mm/54 Mk82 HE-MT/PD Mk41 HiFrag机身，Mk407保险丝（Mk45 0型）"",","127mm/54?Mk82?HE-MT/PD?[Mk41?HiFrag?Body,?Mk407?Fuse]?(Mk45?Mod?0),   "
"    ""127mm/54 Mk88 Illum-MT [Mk48 Body, Mk342] "",","127mm/54 Mk88 Illum-MT [Mk48 机身，Mk342],","    ""127mm/54 Mk88照明Mk48车身，Mk342"",","127mm/54?Mk88照明mt?[Mk48车身，Mk342],   "
"    ""127mm/54 Mk90 WP-PD [Mk48 WP Body, Mk30 Fuse] (Mk45 Mod 0)"",","127mm/54 Mk90 WP-PD [Mk48 WP 机身，Mk30 保险丝]（Mk45 Mod 0）,","    ""127mm/54 Mk90 WP-PD Mk48 WP阀体，Mk30保险丝（Mk45 0型）"",","127mm/54?Mk90?WP-?pd?[Mk48?WP机身，Mk30引信](Mk45?Mod?0),   "
"    ""127mm/54 Mk91 Illum-MT [Mk48 Body, Mk342] "",","127mm/54 Mk91 Illum-MT [Mk48 机身，Mk342],","    ""127mm/54 Mk91照明Mk48车身，Mk342"",","127mm/54?Mk91照明mt?[Mk48车身，Mk342],   "
"    ""127mm/54 Mk92 BL-P [Mk64 HiCap Body, Dummy / Inert] "",","127mm/54 Mk92 BL-P [Mk64 HiCap 机身，假人/惰性],","    ""127mm/54 Mk92 BL-P Mk64 HiCap阀体，假人/惰性"",","127mm/54?Mk92?BL-P?[Mk64?HiCap?Body,?Dummy?/?Inert],   "
"    ""127mm/54 OTO Melara Compact HECVT "",","127mm/54 OTO Melara Compact HECVT,","    ""127mm/54 OTO Melara紧凑型HECVT"",","127mm/54?OTO?Melara紧凑型HECVT,   "
"    ""127mm/54 OTO Melara Compact HiCap "",","127mm/54 OTO Melara Compact HiCap,","    ""127mm/54 OTO Melara紧凑型HiCap"",","127mm/54?OTO?Melara?Compact?HiCap,   "
"    ""127mm/54 WP (USN)"",","127mm/54 WP (USN),","    ""127mm/54 WP（美国海军）"",","127毫米/?54?WP?(USN),   "
"    ""127mm/62 ERGM Unitary (Cancelled)"",","127mm/62 ERGM 一体式（取消）,","    ""127mm/62 ERGM整体式（取消）"",","127mm/62?ERGM单面(取消),   "
"    ""127mm/62 HE-CVT [HiFrag] "",","127mm/62 HE-CVT [HiFrag],","    ""127mm/62 HE-CVT HiFrag"",","127mm/62?HE-CVT?[HiFrag],   "
"    ""127mm/62 HE-PD [HiCap] "",","127mm/62 HE-PD [HiCap],","    ""127mm/62 HE-PD HiCap"",","127mm/62?HE-PD?[HiCap],   "
"    ""127mm/62 HVP (Hypervelocity Rounds)"",","127 毫米/62 HVP（超高速子弹）,","    ""127mm/62 HVP（超高速炮弹）"",","127mm/62?HVP(超高速子弹),   "
"    ""127mm/62 Mk176 Illum-ET [Cargo Body, Mk432 Fuse] (2006)"",","127 毫米/62 Mk176 Illum-ET [货箱，Mk432 保险丝] (2006),","    ""127mm/62 Mk176照明和货物车身，Mk432保险丝（2006年）"",","127mm/62?Mk176照明-?et[货舱，Mk432保险丝](2006),   "
"    ""127mm/62 Mk179 HE-ET [Mk41 HiFrag Body, Mk432 Fuse] (2006, Close-In ASuW, Electronic Time)"",","127 毫米/62 Mk179 HE-ET [Mk41 HiFrag 机身，Mk432 保险丝]（2006，近距离 ASuW，电子时间）,","    ""127mm/62 Mk179 HE-ET Mk41 HiFrag机身，Mk432保险丝（2006年，在ASuW关闭，电子时间）"",","127mm/62?Mk179?HE-ET?[Mk41?HiFrag体，Mk432引信](2006，近程ASuW，电子时间),   "
"    ""127mm/62 Mk182 KE-ET [Cargo Body, Mk432 Fuse, Shotgun Shell] (2006, Electronic Time)"",","127 毫米/62 Mk182 KE-ET [货运车身，Mk432 保险丝，霰弹枪外壳]（2006 年，电子时间）,","    ""127mm/62 Mk182 KE-ET机身，Mk432引信，霰弹枪外壳（2006年，电子时间）"",","127mm/62?Mk182?KE-ET[货舱，Mk432保险丝，散弹枪弹](2006年，电子时间),   "
"    ""127mm/62 Mk186 HE-MOFN [Mk64 HiCap Body, Mk437 Fuse] (2015, Land and ASuW, No AAW, Multi-Option Fuze Navy)"",","127mm/62 Mk186 HE-MOFN [Mk64 HiCap 机身，Mk437 保险丝]（2015，陆地和 ASuW，无 AAW，多选项引信海军）,","    ""127mm/62 Mk186 HE-MOFN Mk64 HiCap机身，Mk437引信（2015年，陆地和ASAW，无AAW，海军多选项引信）"",","127mm/62?Mk186?he?-?mof?-?fn?[Mk64?HiCap机身，Mk437引信](2015年，陆地和ASuW，无AAW，多选项引信海军),   "
